,Country,Last,Previous,Reference
150,Belarus,0,0,Dec/18
151,Botswana,0,0,Dec/18
152,Costa Rica,0,0,Dec/18
153,Cuba,0,0,Dec/18
154,El Salvador,0,0,Dec/18
155,Eritrea,0,0,Dec/18
156,Guinea Bissau,0,0,Dec/18
157,Mauritius,0,0,Dec/18
158,Namibia,0,0,Dec/18
159,Oman,0,0,Dec/18
160,Romania,0,0,Dec/18
161,Slovenia,0,0,Dec/18
162,Togo,0,0,Dec/18
